province,alpha_hat,rank
海南省,-2234.0736,1
贵州省,-1891.6515,2
广西壮族自治区,-1546.8018,3
青海省,-1359.6315,4
云南省,-1183.2854,5
广东省,-1163.0244,6
重庆市,-987.0052,7
福建省,-970.5165,8
浙江省,-858.7693,9
上海市,-736.4694,10
陕西省,-640.0977,11
甘肃省,-441.6629,12
四川省,-400.1306,13
湖南省,-388.9986,14
宁夏回族自治区,-341.2291,15
湖北省,-333.7185,16
江西省,-320.0969,17
北京市,-307.4665,18
新疆维吾尔自治区,-250.0487,19
山西省,174.1126,20
内蒙古自治区,427.6052,21
安徽省,739.7225,22
天津市,1011.0038,23
河北省,1150.7505,24
江苏省,1199.3726,25
河南省,1469.5075,26
西藏自治区,1597.4664,27
黑龙江省,1662.0758,28
山东省,1707.9652,29
辽宁省,1960.6597,30
吉林省,3254.4363,31
