feature,feature_raw,beta_hat,se,p_value,ci_lo,ci_hi,significant_05
Irr,irr,57.467338,40.256062,0.153423,-21.433093,136.367769,False
Flood_R,flood,15.885643,15.023988,0.290351,-13.560831,45.332118,False
Sun,sun,57.750007,61.083145,0.344438,-61.970757,177.470771,False
Temp,temp,219.298895,133.947955,0.101590,-43.234272,481.832062,False
SPEI,spei,11.762561,16.908122,0.486632,-21.376749,44.901871,False
Prec,prec,48.527313,49.063278,0.322626,-47.634946,144.689572,False
Mech,mech,-201.337468,42.030325,0.000002,-283.715392,-118.959544,True
Fert,fert,-262.146906,97.165881,0.006977,-452.588533,-71.705280,True
Drou_A,drou_a,-46.634730,15.421127,0.002494,-76.859584,-16.409877,True
Flood_A,flood_a,113.895536,33.674449,0.000719,47.894828,179.896244,True
NDVI,ndvi,90.352860,158.950168,0.569740,-221.183744,401.889464,False
