province_code,province,year,y_wang_original,irr,flood,sun,temp,spei,prec,mech,fert,drou_a,flood_a,ndvi,prec_capital,sun_capital,ndvi_summer_peak,ndvi_yearly,lst_day_growing_mean_k,lst_night_growing_mean_k,production_wan_ton,sown_qian_ha,yield_kg_per_ha,y_linear,y_butter,y_zscore,prec_nasa,sun_nasa
310000,上海市,2011,0.027,102.3641,4.07,2984.344837009898,16.2,-0.9876,1011.72,0.252,11.97,86.2,17.1,0.46299976159613093,365.15,2320.71,0.5537284889316652,0.3974680407797069,301.9012255193335,291.7440385918614,136.16,420.03,3241.673213818061,-107.90419638676258,-0.08057801888799077,-1.9545752211109844,1011.72,2984.344837009898
310000,上海市,2012,0.025,102.0615,0.0,2987.356847404096,16.12,0.8057,1291.75,0.281,10.99,78.5,16.2,0.4731829561257591,455.2,2498.96,0.5539360394130878,0.4027006429953311,301.3259653715367,291.9748240987731,135.98,401.64,3385.618962254756,6.212398052166918,73.53678963528955,-0.973838830423125,1291.75,2987.356847404096
310000,上海市,2013,0.023,94.4051,0.0,3163.5506100678253,16.82,-1.5607,1074.33,0.289,10.78,70.8,15.3,0.46665006244855955,406.84,2351.04,0.5359802718903875,0.40074539725590497,302.69254408161186,292.4229447538936,128.65,391.3,3287.758752875032,-121.47696532532245,-97.30802845817925,-1.6405835559975455,1074.33,3163.5506100678253
310000,上海市,2014,0.021,94.4051,0.59,2943.2149508448365,16.24,0.6895,1314.09,0.318,10.2,63.1,14.4,0.47196953850375156,353.55,2218.7,0.5589179558602957,0.4121287101550947,301.1665124693799,291.21843177005434,127.16,369.91,3437.5929280095156,-1.471944188604084,-24.263035531925652,-0.6197279231011589,1314.09,2943.2149508448365
310000,上海市,2015,0.02,96.5179,0.0,2888.1767030725428,16.33,1.2673,1671.35,0.339,9.92,55.4,13.5,0.4875970241958401,369.9,2734.26,0.5616409616620262,0.42524341460979603,302.05050923177333,291.2613062916824,125.41,350.64,3576.6027834816337,107.70875728574856,43.122628878444175,0.32737906273470785,1671.35,2888.1767030725428
310000,上海市,2016,0.018,97.3385,0.0,2900.392739347852,17.02,0.8573,1697.99,0.403,9.16,47.7,12.6,0.479892000007163,439.28,2740.19,0.5645580451771759,0.4109706703493579,302.04731122347044,292.19585552619765,111.78,303.78,3679.6365791032986,180.9133989096481,94.3892087959116,1.0293726536138579,1697.99,2900.392739347852
310000,上海市,2017,0.017,97.8256,0.0,3046.58239076784,17.05,0.3162,1371.12,0.428,8.9,40.0,11.7,0.478310165712536,383.35,2420.04,0.5659336865767503,0.415520313658091,302.3649414931889,292.80800176800403,99.78,284.95,3501.6669591156347,-26.885375075781212,-110.55355097031361,-0.18317641194990905,1371.12,3046.58239076784
310000,上海市,2018,0.016,97.8256,0.0,3053.403861876725,17.0,0.0249,1435.81,0.333,8.37,32.3,10.8,0.47979243079630784,358.14,2240.38,0.5719872616241697,0.4147910517502724,302.06584659734335,292.06970781077735,103.74,282.27,3675.204591348709,116.82310315952782,56.074253915061036,0.999176474003034,1435.81,3053.403861876725
310000,上海市,2019,0.015,117.0307,0.31,2940.4271906842946,16.78,0.5846,1563.86,0.375,7.53,24.6,9.9,0.4730960847384623,432.42,1714.35,0.566258269148481,0.4062498990873009,302.4282104723128,291.8196083104493,95.89,261.39,3668.464746164735,80.25410397778842,56.63011659357653,0.9532563165040259,1563.86,2940.4271906842946
310000,上海市,2020,0.014,101.2577,0.86,2966.51310574965,17.12,1.1435,1763.99,0.4,6.9,16.9,9.0,0.4828412437462481,373.59,2447.52,0.5595889245242678,0.4240728090156676,301.97498950007696,291.54698887133503,91.44,255.16,3583.6337984010033,-34.4059977837087,-18.35034128248344,0.3752830284286142,1763.99,2966.51310574965
530000,云南省,2011,0.039,26.1311,1.66,3127.32,14.49,-2.1818,649.85,0.405,200.47,1072.7,107.6,0.6734097911601726,513.09,2314.84,0.7512623810073914,0.6348915647000224,297.2582604445044,286.7261047762596,1623.25,6484.91,2503.1187788265374,-37.157721202551784,-0.055334084423520835,-1.9724285199147535,649.85,3127.32
530000,云南省,2012,0.036,26.8292,5.6,3247.096832891857,15.78,-1.7331,617.31,0.431,210.21,807.4,374.0,0.6629077024371063,501.39,2452.3,0.75248284844542,0.6273335948491001,297.55029012578404,286.7362753043948,1687.32,6674.13,2528.1497363701337,-31.821704658353156,-9.769799525100552,-1.6545722694026428,617.31,3247.096832891857
530000,云南省,2013,0.034,26.5473,1.84,3267.264753673495,15.26,-1.6161,687.71,0.448,219.02,332.0,404.22,0.6731601442282112,442.26,2093.65,0.7644006240208507,0.6370955042864485,297.70308733167167,286.3586158619339,1757.39,6848.56,2566.0722838085667,-13.594098219310581,-7.435792493865847,-1.1730118369799636,687.71,3267.264753673495
530000,云南省,2014,0.032,27.326,2.1,3333.0502600053032,15.6,-0.0727,729.48,0.47,226.9,514.9,434.43,0.6592551707969421,543.53,2228.05,0.7629313774967318,0.6315740997694792,298.0284175846561,287.05923325739553,1794.94,6842.84,2623.0921664104376,23.730843383162664,14.183649971706473,-0.4489434086385894,729.48,3333.0502600053032
