province,city,year,production_wan_ton
安徽省,合肥市,2011,321.34
安徽省,合肥市,2012,303.38
安徽省,合肥市,2013,299.68
安徽省,合肥市,2014,312.25
安徽省,合肥市,2015,323.31
安徽省,合肥市,2016,310.38
安徽省,合肥市,2017,315.65
安徽省,合肥市,2018,301.35
安徽省,合肥市,2019,301.19
安徽省,合肥市,2020,288.95
安徽省,合肥市,2021,294.13
安徽省,合肥市,2022,294.23
安徽省,合肥市,2023,298.74
安徽省,合肥市,2024,302.32
安徽省,芜湖市,2011,142.02
安徽省,芜湖市,2012,133.70
安徽省,芜湖市,2013,132.71
安徽省,芜湖市,2014,138.43
安徽省,芜湖市,2015,143.43
安徽省,芜湖市,2016,137.26
安徽省,芜湖市,2017,139.87
安徽省,芜湖市,2018,139.70
安徽省,芜湖市,2019,139.19
安徽省,芜湖市,2020,135.14
安徽省,芜湖市,2021,138.76
安徽省,芜湖市,2022,139.60
安徽省,芜湖市,2023,141.62
安徽省,芜湖市,2024,142.80
安徽省,蚌埠市,2011,276.15
安徽省,蚌埠市,2012,261.22
安徽省,蚌埠市,2013,263.60
安徽省,蚌埠市,2014,275.51
安徽省,蚌埠市,2015,286.59
安徽省,蚌埠市,2016,280.50
安徽省,蚌埠市,2017,285.86
安徽省,蚌埠市,2018,277.06
安徽省,蚌埠市,2019,282.13
安徽省,蚌埠市,2020,280.55
安徽省,蚌埠市,2021,283.39
安徽省,蚌埠市,2022,286.02
安徽省,蚌埠市,2023,290.72
安徽省,蚌埠市,2024,293.25
安徽省,淮南市,2011,141.55
安徽省,淮南市,2012,133.77
安徽省,淮南市,2013,133.94
安徽省,淮南市,2014,139.43
安徽省,淮南市,2015,294.31
安徽省,淮南市,2016,284.84
安徽省,淮南市,2017,289.65
安徽省,淮南市,2018,320.22
安徽省,淮南市,2019,318.86
安徽省,淮南市,2020,307.45
安徽省,淮南市,2021,317.06
安徽省,淮南市,2022,317.68
安徽省,淮南市,2023,322.44
安徽省,淮南市,2024,326.17
安徽省,马鞍山市,2011,107.04
安徽省,马鞍山市,2012,101.64
安徽省,马鞍山市,2013,101.79
安徽省,马鞍山市,2014,106.26
安徽省,马鞍山市,2015,110.12
安徽省,马鞍山市,2016,105.47
安徽省,马鞍山市,2017,107.28
安徽省,马鞍山市,2018,109.03
安徽省,马鞍山市,2019,108.71
安徽省,马鞍山市,2020,104.80
安徽省,马鞍山市,2021,106.03
安徽省,马鞍山市,2022,106.80
安徽省,马鞍山市,2023,108.44
安徽省,马鞍山市,2024,109.81
安徽省,淮北市,2011,126.18
安徽省,淮北市,2012,119.01
安徽省,淮北市,2013,120.08
安徽省,淮北市,2014,125.02
安徽省,淮北市,2015,129.78
安徽省,淮北市,2016,126.88
安徽省,淮北市,2017,129.55
安徽省,淮北市,2018,144.18
安徽省,淮北市,2019,149.15
安徽省,淮北市,2020,149.36
安徽省,淮北市,2021,151.00
安徽省,淮北市,2022,151.32
安徽省,淮北市,2023,152.60
安徽省,淮北市,2024,153.52
安徽省,铜陵市,2011,16.10
安徽省,铜陵市,2012,15.30
安徽省,铜陵市,2013,15.25
安徽省,铜陵市,2014,15.97
安徽省,铜陵市,2015,66.98
安徽省,铜陵市,2016,64.11
安徽省,铜陵市,2017,65.13
安徽省,铜陵市,2018,58.17
安徽省,铜陵市,2019,57.99
安徽省,铜陵市,2020,56.28
安徽省,铜陵市,2021,57.37
安徽省,铜陵市,2022,57.83
安徽省,铜陵市,2023,58.55
安徽省,铜陵市,2024,59.05
安徽省,安庆市,2011,267.57
安徽省,安庆市,2012,252.20
安徽省,安庆市,2013,247.61
安徽省,安庆市,2014,258.64
安徽省,安庆市,2015,217.91
安徽省,安庆市,2016,208.54
安徽省,安庆市,2017,209.22
安徽省,安庆市,2018,195.38
安徽省,安庆市,2019,194.60
安徽省,安庆市,2020,190.30
安徽省,安庆市,2021,193.17
安徽省,安庆市,2022,194.52
安徽省,安庆市,2023,197.36
安徽省,安庆市,2024,198.84
安徽省,黄山市,2011,36.19
安徽省,黄山市,2012,34.17
安徽省,黄山市,2013,33.45
安徽省,黄山市,2014,34.69
安徽省,黄山市,2015,34.98
安徽省,黄山市,2016,33.50
