province,city,year,production_wan_ton
安徽省,亳州市,2011,469.52
安徽省,亳州市,2012,442.58
安徽省,亳州市,2013,447.45
安徽省,亳州市,2014,467.49
安徽省,亳州市,2015,485.2
安徽省,亳州市,2016,473.93
安徽省,亳州市,2017,483.4
安徽省,亳州市,2018,487.84
安徽省,亳州市,2019,499.71
安徽省,亳州市,2020,505.19
安徽省,亳州市,2021,514.62
安徽省,亳州市,2022,516.59
安徽省,亳州市,2023,518.17
安徽省,亳州市,2024,519.55
安徽省,六安市,2011,475.9
安徽省,六安市,2012,449.07
安徽省,六安市,2013,444.13
安徽省,六安市,2014,463.12
安徽省,六安市,2015,327.99
安徽省,六安市,2016,314.19
安徽省,六安市,2017,315.85
安徽省,六安市,2018,347.85
安徽省,六安市,2019,347.13
安徽省,六安市,2020,345.68
安徽省,六安市,2021,355.08
安徽省,六安市,2022,356.1
安徽省,六安市,2023,362.24
安徽省,六安市,2024,367.5
安徽省,合肥市,2011,321.34
安徽省,合肥市,2012,303.38
安徽省,合肥市,2013,299.68
安徽省,合肥市,2014,312.25
安徽省,合肥市,2015,323.31
安徽省,合肥市,2016,310.38
安徽省,合肥市,2017,315.65
安徽省,合肥市,2018,301.35
安徽省,合肥市,2019,301.19
安徽省,合肥市,2020,288.95
安徽省,合肥市,2021,294.13
安徽省,合肥市,2022,294.23
安徽省,合肥市,2023,298.74
安徽省,合肥市,2024,302.32
安徽省,安庆市,2011,267.57
安徽省,安庆市,2012,252.2
安徽省,安庆市,2013,247.61
安徽省,安庆市,2014,258.64
安徽省,安庆市,2015,217.91
安徽省,安庆市,2016,208.54
安徽省,安庆市,2017,209.22
安徽省,安庆市,2018,195.38
安徽省,安庆市,2019,194.6
安徽省,安庆市,2020,190.3
安徽省,安庆市,2021,193.17
安徽省,安庆市,2022,194.52
安徽省,安庆市,2023,197.36
安徽省,安庆市,2024,198.84
安徽省,宣城市,2011,137.83
安徽省,宣城市,2012,130.37
安徽省,宣城市,2013,127.77
安徽省,宣城市,2014,132.97
安徽省,宣城市,2015,137.53
安徽省,宣城市,2016,131.58
安徽省,宣城市,2017,133.23
安徽省,宣城市,2018,129.14
安徽省,宣城市,2019,129.1
安徽省,宣城市,2020,126.68
安徽省,宣城市,2021,128.72
安徽省,宣城市,2022,126.78
安徽省,宣城市,2023,128.46
安徽省,宣城市,2024,130.09
安徽省,宿州市,2011,400.06
安徽省,宿州市,2012,376.97
安徽省,宿州市,2013,379.14
安徽省,宿州市,2014,396.67
安徽省,宿州市,2015,412.26
安徽省,宿州市,2016,402.8
安徽省,宿州市,2017,410.31
安徽省,宿州市,2018,429.92
安徽省,宿州市,2019,443.51
安徽省,宿州市,2020,449.62
安徽省,宿州市,2021,453.54
安徽省,宿州市,2022,457.95
安徽省,宿州市,2023,460.2
安徽省,宿州市,2024,461.1
安徽省,池州市,2011,69.45
安徽省,池州市,2012,65.76
安徽省,池州市,2013,65.22
安徽省,池州市,2014,67.99
安徽省,池州市,2015,70.52
安徽省,池州市,2016,67.59
安徽省,池州市,2017,68.78
安徽省,池州市,2018,64.79
安徽省,池州市,2019,64.81
安徽省,池州市,2020,63.25
安徽省,池州市,2021,65.45
安徽省,池州市,2022,66.51
安徽省,池州市,2023,67.27
安徽省,池州市,2024,67.79
安徽省,淮北市,2011,126.18
安徽省,淮北市,2012,119.01
安徽省,淮北市,2013,120.08
安徽省,淮北市,2014,125.02
安徽省,淮北市,2015,129.78
安徽省,淮北市,2016,126.88
安徽省,淮北市,2017,129.55
安徽省,淮北市,2018,144.18
安徽省,淮北市,2019,149.15
安徽省,淮北市,2020,149.36
安徽省,淮北市,2021,151.0
安徽省,淮北市,2022,151.32
安徽省,淮北市,2023,152.6
安徽省,淮北市,2024,153.52
安徽省,淮南市,2011,141.55
安徽省,淮南市,2012,133.77
安徽省,淮南市,2013,133.94
安徽省,淮南市,2014,139.43
安徽省,淮南市,2015,294.31
安徽省,淮南市,2016,284.84
安徽省,淮南市,2017,289.65
安徽省,淮南市,2018,320.22
安徽省,淮南市,2019,318.86
安徽省,淮南市,2020,307.45
安徽省,淮南市,2021,317.06
安徽省,淮南市,2022,317.68
安徽省,淮南市,2023,322.44
安徽省,淮南市,2024,326.17
安徽省,滁州市,2011,440.49
安徽省,滁州市,2012,415.07
安徽省,滁州市,2013,413.83
安徽省,滁州市,2014,430.69
安徽省,滁州市,2015,445.08
安徽省,滁州市,2016,427.0
安徽省,滁州市,2017,435.54
安徽省,滁州市,2018,459.95
安徽省,滁州市,2019,464.51
安徽省,滁州市,2020,465.69
安徽省,滁州市,2021,470.41
安徽省,滁州市,2022,465.87
安徽省,滁州市,2023,477.14
安徽省,滁州市,2024,483.82
安徽省,芜湖市,2011,142.02
安徽省,芜湖市,2012,133.7
安徽省,芜湖市,2013,132.71
安徽省,芜湖市,2014,138.43
安徽省,芜湖市,2015,143.43
安徽省,芜湖市,2016,137.26
安徽省,芜湖市,2017,139.87
安徽省,芜湖市,2018,139.7
安徽省,芜湖市,2019,139.19
安徽省,芜湖市,2020,135.14
安徽省,芜湖市,2021,138.76
安徽省,芜湖市,2022,139.6
安徽省,芜湖市,2023,141.62
安徽省,芜湖市,2024,142.8
安徽省,蚌埠市,2011,276.15
安徽省,蚌埠市,2012,261.22
安徽省,蚌埠市,2013,263.6
安徽省,蚌埠市,2014,275.51
安徽省,蚌埠市,2015,286.59
安徽省,蚌埠市,2016,280.5
安徽省,蚌埠市,2017,285.86
安徽省,蚌埠市,2018,277.06
安徽省,蚌埠市,2019,282.13
安徽省,蚌埠市,2020,280.55
安徽省,蚌埠市,2021,283.39
安徽省,蚌埠市,2022,286.02
安徽省,蚌埠市,2023,290.72
安徽省,蚌埠市,2024,293.25
安徽省,铜陵市,2011,16.1
安徽省,铜陵市,2012,15.3
安徽省,铜陵市,2013,15.25
安徽省,铜陵市,2014,15.97
安徽省,铜陵市,2015,66.98
安徽省,铜陵市,2016,64.11
安徽省,铜陵市,2017,65.13
安徽省,铜陵市,2018,58.17
安徽省,铜陵市,2019,57.99
安徽省,铜陵市,2020,56.28
安徽省,铜陵市,2021,57.37
安徽省,铜陵市,2022,57.83
安徽省,铜陵市,2023,58.55
安徽省,铜陵市,2024,59.05
安徽省,阜阳市,2011,537.81
安徽省,阜阳市,2012,523.34
安徽省,阜阳市,2013,526.11
安徽省,阜阳市,2014,548.15
安徽省,阜阳市,2015,570.29
安徽省,阜阳市,2016,557.18
安徽省,阜阳市,2017,567.77
安徽省,阜阳市,2018,513.42
安徽省,阜阳市,2019,524.25
安徽省,阜阳市,2020,521.64
安徽省,阜阳市,2021,529.85
安徽省,阜阳市,2022,533.13
安徽省,阜阳市,2023,537.22
安徽省,阜阳市,2024,538.82
安徽省,马鞍山市,2011,107.04
安徽省,马鞍山市,2012,101.64
安徽省,马鞍山市,2013,101.79
安徽省,马鞍山市,2014,106.26
安徽省,马鞍山市,2015,110.12
安徽省,马鞍山市,2016,105.47
安徽省,马鞍山市,2017,107.28
安徽省,马鞍山市,2018,109.03
安徽省,马鞍山市,2019,108.71
安徽省,马鞍山市,2020,104.8
安徽省,马鞍山市,2021,106.03
安徽省,马鞍山市,2022,106.8
安徽省,马鞍山市,2023,108.44
安徽省,马鞍山市,2024,109.81
安徽省,黄山市,2011,36.19
安徽省,黄山市,2012,34.17
安徽省,黄山市,2013,33.45
安徽省,黄山市,2014,34.69
安徽省,黄山市,2015,34.98
安徽省,黄山市,2016,33.5
安徽省,黄山市,2017,32.88
安徽省,黄山市,2018,29.26
安徽省,黄山市,2019,29.15
安徽省,黄山市,2020,28.66
安徽省,黄山市,2021,28.97
安徽省,黄山市,2022,29.21
安徽省,黄山市,2023,29.59
安徽省,黄山市,2024,29.87
江苏省,南京市,2011,112.06
江苏省,南京市,2012,117.5
江苏省,南京市,2013,116.95
江苏省,南京市,2014,114.72
江苏省,南京市,2015,114.06
江苏省,南京市,2016,108.04
江苏省,南京市,2017,102.71
江苏省,南京市,2018,106.92
江苏省,南京市,2019,96.56
江苏省,南京市,2020,97.83
江苏省,南京市,2021,98.48
