province,city,year,production_wan_ton
河北省,石家庄市,2011,531.72
河北省,石家庄市,2012,532.10
河北省,石家庄市,2013,525.61
河北省,石家庄市,2014,503.00
河北省,石家庄市,2015,504.79
河北省,石家庄市,2016,495.82
河北省,石家庄市,2017,511.21
河北省,石家庄市,2018,487.34
河北省,石家庄市,2019,484.38
河北省,石家庄市,2020,496.12
河北省,石家庄市,2021,498.39
河北省,石家庄市,2022,502.53
河北省,石家庄市,2023,504.61
河北省,石家庄市,2024,506.84
河北省,唐山市,2011,317.76
河北省,唐山市,2012,311.39
河北省,唐山市,2013,308.29
河北省,唐山市,2014,305.00
河北省,唐山市,2015,308.37
河北省,唐山市,2016,305.49
河北省,唐山市,2017,288.83
河北省,唐山市,2018,278.17
河北省,唐山市,2019,285.72
河北省,唐山市,2020,289.84
河北省,唐山市,2021,293.81
河北省,唐山市,2022,296.74
河北省,唐山市,2023,299.60
河北省,唐山市,2024,300.66
河北省,秦皇岛市,2011,89.19
河北省,秦皇岛市,2012,80.92
河北省,秦皇岛市,2013,84.39
河北省,秦皇岛市,2014,85.28
河北省,秦皇岛市,2015,84.44
河北省,秦皇岛市,2016,81.14
河北省,秦皇岛市,2017,75.66
河北省,秦皇岛市,2018,74.22
河北省,秦皇岛市,2019,72.72
河北省,秦皇岛市,2020,74.99
河北省,秦皇岛市,2021,76.00
河北省,秦皇岛市,2022,77.02
河北省,秦皇岛市,2023,77.87
河北省,秦皇岛市,2024,78.25
河北省,邯郸市,2011,528.29
河北省,邯郸市,2012,560.08
河北省,邯郸市,2013,555.62
河北省,邯郸市,2014,544.85
河北省,邯郸市,2015,542.46
河北省,邯郸市,2016,546.55
河北省,邯郸市,2017,563.76
河北省,邯郸市,2018,528.20
河北省,邯郸市,2019,517.57
河北省,邯郸市,2020,533.08
河北省,邯郸市,2021,537.00
河北省,邯郸市,2022,542.85
河北省,邯郸市,2023,544.54
河北省,邯郸市,2024,547.24
河北省,邢台市,2011,452.76
河北省,邢台市,2012,453.21
河北省,邢台市,2013,448.47
河北省,邢台市,2014,444.79
河北省,邢台市,2015,451.10
河北省,邢台市,2016,457.46
河北省,邢台市,2017,482.63
河北省,邢台市,2018,466.52
河北省,邢台市,2019,474.46
河北省,邢台市,2020,485.21
河北省,邢台市,2021,489.44
河北省,邢台市,2022,493.83
河北省,邢台市,2023,473.25
河北省,邢台市,2024,494.80
河北省,保定市,2011,614.70
河北省,保定市,2012,604.47
河北省,保定市,2013,596.37
河北省,保定市,2014,573.27
河北省,保定市,2015,570.02
河北省,保定市,2016,570.68
河北省,保定市,2017,565.73
河北省,保定市,2018,547.74
河北省,保定市,2019,484.03
河北省,保定市,2020,542.18
河北省,保定市,2021,539.90
河北省,保定市,2022,542.24
河北省,保定市,2023,513.71
河北省,保定市,2024,545.50
河北省,张家口市,2011,154.70
河北省,张家口市,2012,154.73
河北省,张家口市,2013,166.07
河北省,张家口市,2014,156.92
河北省,张家口市,2015,159.39
河北省,张家口市,2016,167.21
河北省,张家口市,2017,177.99
河北省,张家口市,2018,182.84
河北省,张家口市,2019,179.69
河北省,张家口市,2020,185.46
河北省,张家口市,2021,186.10
河北省,张家口市,2022,190.83
河北省,张家口市,2023,201.18
河北省,张家口市,2024,202.84
河北省,承德市,2011,140.50
河北省,承德市,2012,135.19
河北省,承德市,2013,147.43
河北省,承德市,2014,124.01
河北省,承德市,2015,121.21
河北省,承德市,2016,133.96
河北省,承德市,2017,129.33
河北省,承德市,2018,140.05
河北省,承德市,2019,144.62
河北省,承德市,2020,146.53
河北省,承德市,2021,146.66
河北省,承德市,2022,148.99
河北省,承德市,2023,148.70
河北省,承德市,2024,151.95
河北省,沧州市,2011,494.27
河北省,沧州市,2012,483.66
河北省,沧州市,2013,477.37
河北省,沧州市,2014,449.11
河北省,沧州市,2015,444.61
河北省,沧州市,2016,455.54
河北省,沧州市,2017,447.68
河北省,沧州市,2018,434.46
河北省,沧州市,2019,451.86
河北省,沧州市,2020,457.88
河北省,沧州市,2021,465.97
河北省,沧州市,2022,471.62
河北省,沧州市,2023,467.00
河北省,沧州市,2024,476.88
河北省,廊坊市,2011,193.67
河北省,廊坊市,2012,184.73
河北省,廊坊市,2013,175.95
河北省,廊坊市,2014,169.84
河北省,廊坊市,2015,160.67
河北省,廊坊市,2016,159.45
河北省,廊坊市,2017,157.45
河北省,廊坊市,2018,147.42
河北省,廊坊市,2019,147.75
河北省,廊坊市,2020,148.10
河北省,廊坊市,2021,150.73
河北省,廊坊市,2022,153.08
河北省,廊坊市,2023,141.23
河北省,廊坊市,2024,152.83
河北省,衡水市,2011,378.62
河北省,衡水市,2012,378.91
河北省,衡水市,2013,372.29
河北省,衡水市,2014,364.11
河北省,衡水市,2015,352.09
河北省,衡水市,2016,362.75
河北省,衡水市,2017,428.97
河北省,衡水市,2018,413.90
河北省,衡水市,2019,425.39
河北省,衡水市,2020,436.49
河北省,衡水市,2021,441.14
河北省,衡水市,2022,445.33
河北省,衡水市,2023,438.21
河北省,衡水市,2024,450.98
