province,city,year,production_wan_ton
江苏省,南京市,2011,112.06
江苏省,南京市,2012,117.50
江苏省,南京市,2013,116.95
江苏省,南京市,2014,114.72
江苏省,南京市,2015,114.06
江苏省,南京市,2016,108.04
江苏省,南京市,2017,102.71
江苏省,南京市,2018,106.92
江苏省,南京市,2019,96.56
江苏省,南京市,2020,97.83
江苏省,南京市,2021,98.48
江苏省,南京市,2022,99.03
江苏省,南京市,2023,99.35
江苏省,南京市,2024,100.29
江苏省,无锡市,2011,82.22
江苏省,无锡市,2012,81.65
江苏省,无锡市,2013,79.64
江苏省,无锡市,2014,77.20
江苏省,无锡市,2015,72.28
江苏省,无锡市,2016,59.16
江苏省,无锡市,2017,55.15
江苏省,无锡市,2018,56.80
江苏省,无锡市,2019,54.75
江苏省,无锡市,2020,50.86
江苏省,无锡市,2021,55.06
江苏省,无锡市,2022,55.63
江苏省,无锡市,2023,56.41
江苏省,无锡市,2024,56.80
江苏省,徐州市,2011,455.30
江苏省,徐州市,2012,471.73
江苏省,徐州市,2013,451.13
江苏省,徐州市,2014,469.18
江苏省,徐州市,2015,470.92
江苏省,徐州市,2016,469.16
江苏省,徐州市,2017,482.72
江苏省,徐州市,2018,484.48
江苏省,徐州市,2019,501.54
江苏省,徐州市,2020,501.92
江苏省,徐州市,2021,501.79
江苏省,徐州市,2022,502.40
江苏省,徐州市,2023,505.07
江苏省,徐州市,2024,505.27
江苏省,常州市,2011,115.19
江苏省,常州市,2012,114.80
江苏省,常州市,2013,113.71
江苏省,常州市,2014,112.16
江苏省,常州市,2015,108.31
江苏省,常州市,2016,93.74
江苏省,常州市,2017,81.36
江苏省,常州市,2018,78.15
江苏省,常州市,2019,69.58
江苏省,常州市,2020,69.02
江苏省,常州市,2021,69.48
江苏省,常州市,2022,69.69
江苏省,常州市,2023,70.49
江苏省,常州市,2024,70.96
江苏省,苏州市,2011,115.00
江苏省,苏州市,2012,116.46
江苏省,苏州市,2013,113.12
江苏省,苏州市,2014,110.46
江苏省,苏州市,2015,108.22
江苏省,苏州市,2016,97.68
江苏省,苏州市,2017,92.28
江苏省,苏州市,2018,87.92
江苏省,苏州市,2019,87.18
江苏省,苏州市,2020,88.81
江苏省,苏州市,2021,90.36
江苏省,苏州市,2022,92.39
江苏省,苏州市,2023,95.10
江苏省,苏州市,2024,95.69
江苏省,南通市,2011,329.12
江苏省,南通市,2012,332.97
江苏省,南通市,2013,333.46
江苏省,南通市,2014,334.02
江苏省,南通市,2015,337.15
江苏省,南通市,2016,325.20
江苏省,南通市,2017,323.96
江苏省,南通市,2018,336.90
江苏省,南通市,2019,338.78
江苏省,南通市,2020,340.09
江苏省,南通市,2021,340.09
江苏省,南通市,2022,340.95
江苏省,南通市,2023,342.79
江苏省,南通市,2024,343.09
江苏省,连云港市,2011,345.99
江苏省,连云港市,2012,361.35
江苏省,连云港市,2013,354.73
江苏省,连云港市,2014,359.33
江苏省,连云港市,2015,362.15
江苏省,连云港市,2016,360.80
江苏省,连云港市,2017,362.35
江苏省,连云港市,2018,364.03
江苏省,连云港市,2019,366.56
江苏省,连云港市,2020,368.52
江苏省,连云港市,2021,368.80
江苏省,连云港市,2022,368.00
江苏省,连云港市,2023,368.57
江苏省,连云港市,2024,368.92
江苏省,淮安市,2011,453.42
江苏省,淮安市,2012,456.11
江苏省,淮安市,2013,461.02
江苏省,淮安市,2014,467.19
江苏省,淮安市,2015,467.22
